pr_url,repo_full_name,repo_url,pr_title,repo_stars,changed_files,merged_at,terms_found
https://github.com/codecrafters-io/frontend/pull/1761,codecrafters-io/frontend,https://github.com/codecrafters-io/frontend,Fix race condition causing blank feedback explanations,115,3,2024-05-23T13:00:10Z,race condition
https://github.com/sindresorhus/execa/pull/1098,sindresorhus/execa,https://github.com/sindresorhus/execa,Add `strict` option to `sendMessage()`,7482,30,2024-05-26T21:12:28Z,race condition
https://github.com/MetaMask/metamask-extension/pull/24809,MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension,fix: flaky test for `Request Queuing for Multiple Dapps and Txs on different networks. should switch to the dapps network automatically when handling sendTransaction calls`,13100,1,2024-05-28T10:04:57Z,race condition | flaky test
https://github.com/MetaMask/metamask-extension/pull/24734,MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension,test: fix flaky test `Increase Token Allowance increases token spending cap to allow other accounts to transfer tokens @no-mmi`,13100,1,2024-05-23T11:18:29Z,flaky test
https://github.com/MetaMask/metamask-extension/pull/24790,MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension,test: Fix flaky test Update Network: update network details and validate the ui elements,13100,1,2024-05-27T16:32:54Z,flaky test
https://github.com/MetaMask/metamask-extension/pull/24812,MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension,"test: Fix flaky test ""lockdown the UI and background environments are locked down""",13100,1,2024-05-28T11:56:52Z,flaky test
https://github.com/subscriptions-project/swg-js/pull/3526,subscriptions-project/swg-js,https://github.com/subscriptions-project/swg-js,Await on getEntitlements in getAvailableIntervention,83,5,2024-05-29T21:24:51Z,race condition
https://github.com/vercel/next.js/pull/66429,vercel/next.js,https://github.com/vercel/next.js,Avoid race condition in ppr navigations test,138620,1,2024-06-05T13:46:25Z,race condition
https://github.com/MetaMask/metamask-extension/pull/25028,MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension,fix: flaky test `Test Snap Signature Insights tests Signature Insights functionality`,13100,4,2024-06-06T07:11:01Z,race condition | flaky test
https://github.com/brianc/node-postgres/pull/3234,brianc/node-postgres,https://github.com/brianc/node-postgres,Improve race condition in pg-native cancel test,13108,3,2024-06-04T16:39:52Z,race condition
https://github.com/MetaMask/metamask-extension/pull/24895,MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension,"test:  Fix flaky test: ""Custom network customNetwork should add mainnet network""",13100,1,2024-06-28T12:21:44Z,flaky test
https://github.com/MetaMask/metamask-extension/pull/24898,MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension,fix: flaky test `Settings Redirects to ENS domains when user inputs ENS into address bar`,13100,5,2024-06-21T21:00:45Z,flaky test
https://github.com/HHS/Head-Start-TTADP/pull/2177,HHS/Head-Start-TTADP,https://github.com/HHS/Head-Start-TTADP,Attempt to deflakify a bunch of cleanup within the backend tests,27,32,2024-05-31T15:19:15Z,flaky test
https://github.com/MetaMask/metamask-extension/pull/24926,MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension,test: fix flaky test,13100,1,2024-05-31T01:27:45Z,flaky test
https://github.com/MetaMask/metamask-extension/pull/24937,MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension,"fix: flaky test `Create token, approve token and approve token without gas approves an already created token and displays the token approval data @no-mmi`",13100,1,2024-05-31T14:21:22Z,flaky test
https://github.com/MetaMask/metamask-extension/pull/24939,MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension,fix: flaky test `Test Snap update via snaps component -can install an old and then update via the snaps component`,13100,1,2024-05-31T12:21:28Z,flaky test
https://github.com/MetaMask/metamask-extension/pull/24998,MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension,"fix(24641): fix flaky test ""Create"" token, approve token and approve token without gas approves an already created token and displays the token approval data @no-mmi""",13100,1,2024-06-05T13:24:24Z,flaky test
https://github.com/HHS/Head-Start-TTADP/pull/2181,HHS/Head-Start-TTADP,https://github.com/HHS/Head-Start-TTADP,Fix another round of flaky tests,27,30,2024-06-06T14:19:04Z,flaky test
https://github.com/newrelic/node-newrelic/pull/2241,newrelic/node-newrelic,https://github.com/newrelic/node-newrelic,chore: Updated flaky when test,998,1,2024-06-04T14:07:39Z,flaky test
https://github.com/geoadmin/web-mapviewer/pull/881,geoadmin/web-mapviewer,https://github.com/geoadmin/web-mapviewer,PB-548 : fix camera position present in URL at startup issue,133,7,2024-06-10T06:11:37Z,race condition
https://github.com/MetaMask/metamask-extension/pull/25137,MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension,"fix: flaky test `Sentry errors after initialization, after opting into metrics @no-mmi should capture UI application state`",13100,3,2024-06-07T12:08:13Z,race condition | flaky test
https://github.com/simple-icons/svglint/pull/107,simple-icons/svglint,https://github.com/simple-icons/svglint,fix: Fix race condition when using the API,51,8,2024-06-07T15:23:13Z,race condition
https://github.com/sableland/sable/pull/62,sableland/sable,https://github.com/sableland/sable,fix: race condition in `sable fmt`,41,12,2024-08-09T15:56:17Z,race condition
https://github.com/MetaMask/metamask-extension/pull/25220,MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension,fix: flaky test `Change assets changes to native currency when switching accounts during a NFT send`,13100,1,2024-06-12T16:30:29Z,race condition | flaky test
https://github.com/MetaMask/metamask-extension/pull/25145,MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension,fix: flaky test `chrome-vault-decryption`,13100,1,2024-06-08T05:38:52Z,flaky test
https://github.com/MetaMask/metamask-extension/pull/25164,MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension,fix: flaky test `lockdown the UI and background environments are locked down`,13100,2,2024-06-10T22:24:14Z,flaky test
https://github.com/WordPress/gutenberg/pull/62454,WordPress/gutenberg,https://github.com/WordPress/gutenberg,Fix flaky Site Editor command center e2e test,11602,1,2024-06-11T03:28:56Z,flaky test
https://github.com/department-of-veterans-affairs/vets-website/pull/30295,department-of-veterans-affairs/vets-website,https://github.com/department-of-veterans-affairs/vets-website,fix: use radio field for mil state and apo fpo dpo,277,3,2024-06-17T18:29:37Z,flaky test
https://github.com/vercel/next.js/pull/66770,vercel/next.js,https://github.com/vercel/next.js,fix client-cache deploy tests,138620,4,2024-06-11T22:17:44Z,race bug
https://github.com/MetaMask/metamask-extension/pull/25294,MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension,fix: flaky test `Custom network JSON-RPC API should show warning when adding chainId `,13100,1,2024-06-13T18:57:20Z,race condition | flaky test
https://github.com/TryGhost/Ghost/pull/20389,TryGhost/Ghost,https://github.com/TryGhost/Ghost,Fixed race condition when updating member's `last_seen_at` timestamp,52372,5,2024-06-19T03:03:32Z,race condition
https://github.com/Automattic/wp-calypso/pull/91781,Automattic/wp-calypso,https://github.com/Automattic/wp-calypso,Big Sky: Open to Creator and adjust feature flags. ,12634,8,2024-06-20T15:12:42Z,race condition
https://github.com/nodejs/node/pull/53486,nodejs/node,https://github.com/nodejs/node,v20.15.0 proposal,116553,167,2024-06-20T15:49:11Z,race condition
https://github.com/MetaMask/metamask-extension/pull/25373,MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension,test: Initial PR for integrating the Page Object Model (POM) into e2e test suite,13100,20,2024-07-02T08:33:16Z,flaky test
https://github.com/MetaMask/metamask-extension/pull/25248,MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension,fix: flaky test `ENS domain resolves to a correct address`,13100,1,2024-06-13T10:42:48Z,flaky test
https://github.com/MetaMask/metamask-extension/pull/25289,MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension,fix: flaky test `Send NFT should not be able to send ERC1155 NFT with invalid amount`,13100,1,2024-06-13T11:49:20Z,flaky test
https://github.com/department-of-veterans-affairs/vets-website/pull/30341,department-of-veterans-affairs/vets-website,https://github.com/department-of-veterans-affairs/vets-website,[VA-IIR 755] fix VA Alert on search form not closing,277,2,2024-06-17T16:16:18Z,flaky test
https://github.com/MetaMask/metamask-extension/pull/25312,MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension,fix: flaky test `Navigate transactions should reject and remove all unapproved transactions`,13100,2,2024-06-14T13:25:13Z,flaky test
https://github.com/MetaMask/metamask-extension/pull/25316,MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension,fix: flaky test `should not prevent network requests to basic functionality endpoints when the basica functionality toggle is on`,13100,1,2024-06-14T12:09:59Z,flaky test
https://github.com/MetaMask/metamask-extension/pull/25324,MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension,fix: flaky test screenshot for `Increase Token Allowance increases token spending cap to allow other accounts to transfer tokens `,13100,1,2024-06-24T18:58:13Z,flaky test
https://github.com/okta/okta-signin-widget/pull/3654,okta/okta-signin-widget,https://github.com/okta/okta-signin-widget,Fix flaky TestCafe OV polling test in `DeviceChallengePollView_spec`,397,4,2024-09-05T21:21:10Z,flaky test
https://github.com/MetaMask/metamask-extension/pull/25351,MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension,"fix(25335): fix flaky test ""Unlock wallet should send first three Page metric events upon fullscreen page load""",13100,1,2024-06-18T13:14:07Z,flaky test
