repo_url,repo_name,pr_url,author,title,matching_js_test_files,matched_terms,found_test_keywords,found_async_keywords,total_async_keywords_count,files_changed_in_pr,lines_changed_in_pr,total_test_files,files_with_test_and_async,created_at,merged_at,async_keywords_breakdown,files_async_counts
https://api.github.com/repos/MetaMask/metamask-extension,MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension/pull/25525,seaona,fix: flaky test ` onboarding @no-mmi doesn't make any network requests to infura before onboarding is completed/test-failure-screenshot-1.png` timeout,test/e2e/tests/onboarding/onboarding.spec.js,flaky test,describe(;it(,async,28,1,4,1,1,2024-06-26T13:46:50Z,2024-06-27T07:32:30Z,promise:0;async:28,test/e2e/tests/onboarding/onboarding.spec.js:28
https://api.github.com/repos/DataDog/dd-trace-js,DataDog/dd-trace-js,https://github.com/DataDog/dd-trace-js/pull/4453,juan-fernandez,[test visibility] Add automatic flaky test retries to Mocha,integration-tests/mocha/mocha.spec.js,flaky test,describe(;it(,async;promise,7,8,187,2,1,2024-07-01T13:58:26Z,2024-07-09T09:30:04Z,promise:3;async:4,integration-tests/mocha/mocha.spec.js:7
https://api.github.com/repos/HHS/Head-Start-TTADP,HHS/Head-Start-TTADP,https://github.com/HHS/Head-Start-TTADP/pull/2250,GarrettEHill,[TTAHUB-3125] Monitoring Data Issue,src/lib/importSystem/tests/record.test.js,race condition,describe(;it(,async;promise,52,4,147,1,1,2024-07-02T23:58:51Z,2024-07-08T13:36:47Z,promise:6;async:46,src/lib/importSystem/tests/record.test.js:52
https://api.github.com/repos/MetaMask/metamask-extension,MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension/pull/25648,seaona,fix: flaky test `Test Snap Get Locale test snap_getLocale functionality`,test/e2e/snaps/test-snap-get-locale.spec.js,race condition;flaky test,describe(;it(,async,2,1,11,1,1,2024-07-03T06:58:19Z,2024-07-03T10:07:17Z,promise:0;async:2,test/e2e/snaps/test-snap-get-locale.spec.js:2
https://api.github.com/repos/code-dot-org/code-dot-org,code-dot-org/code-dot-org,https://github.com/code-dot-org/code-dot-org/pull/59546,stephenliang,fix(jest): mock out imageUtils to prevent a race condition,apps/test/unit/templates/rubrics/RubricContainerTest.jsx,race condition,describe(;it(,async;promise,34,3,15,3,1,2024-07-03T01:03:06Z,2024-07-03T03:25:18Z,promise:9;async:25,apps/test/unit/templates/rubrics/RubricContainerTest.jsx:34
https://api.github.com/repos/NEARBuilders/gateway,NEARBuilders/gateway,https://github.com/NEARBuilders/gateway/pull/452,github-actions[bot],weekly promotion of develop to main,playwright-tests/tests/activity.spec.js;playwright-tests/tests/auth.spec.js;playwright-tests/tests/bosloaderenvironment.spec.js;playwright-tests/tests/editor.spec.js;playwright-tests/tests/landing-page.spec.js;playwright-tests/tests/navbar.spec.js;playwright-tests/tests/profile.spec.js;playwright-tests/tests/project.spec.js;playwright-tests/tests/resources.spec.js,flaky test,describe(;test(,async;promise,100,30,2605,9,9,2024-06-27T01:00:26Z,2024-07-02T22:39:33Z,promise:4;async:96,playwright-tests/tests/activity.spec.js:30;playwright-tests/tests/auth.spec.js:5;playwright-tests/tests/bosloaderenvironment.spec.js:2;playwright-tests/tests/editor.spec.js:10;playwright-tests/tests/landing-page.spec.js:17;playwright-tests/tests/navbar.spec.js:6;playwright-tests/tests/profile.spec.js:10;playwright-tests/tests/project.spec.js:16;playwright-tests/tests/resources.spec.js:4
https://api.github.com/repos/NEARBuilders/gateway,NEARBuilders/gateway,https://github.com/NEARBuilders/gateway/pull/453,elliotBraem,Fixes flaky tests,playwright-tests/tests/editor.spec.js;playwright-tests/tests/landing-page.spec.js;playwright-tests/tests/project.spec.js;playwright-tests/tests/resources.spec.js,flaky test,describe(;test(,async;promise,47,5,317,4,4,2024-06-30T15:33:23Z,2024-07-01T09:15:30Z,promise:3;async:44,playwright-tests/tests/editor.spec.js:10;playwright-tests/tests/landing-page.spec.js:17;playwright-tests/tests/project.spec.js:16;playwright-tests/tests/resources.spec.js:4
https://api.github.com/repos/mozilla/fxa,mozilla/fxa,https://github.com/mozilla/fxa/pull/17185,vpomerleau,fix(functional-tests): Await confirmation of totp setup in tests,packages/functional-tests/tests/oauth/totp.spec.ts;packages/functional-tests/tests/resetPassword/resetPasswordWithCode/oauthResetPassword.spec.ts;packages/functional-tests/tests/resetPassword/resetPasswordWithLink/oauthResetPassword.spec.ts;packages/functional-tests/tests/syncV3/signIn.spec.ts,race condition,describe(;test(,async;promise,27,4,13,4,4,2024-06-27T21:06:23Z,2024-06-28T22:26:22Z,promise:4;async:23,packages/functional-tests/tests/oauth/totp.spec.ts:4;packages/functional-tests/tests/resetPassword/resetPasswordWithCode/oauthResetPassword.spec.ts:6;packages/functional-tests/tests/resetPassword/resetPasswordWithLink/oauthResetPassword.spec.ts:8;packages/functional-tests/tests/syncV3/signIn.spec.ts:9
https://api.github.com/repos/MetaMask/metamask-extension,MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension/pull/25545,seaona,fix: flaky test `Swap-Send ETH to non-contract address with data that matches swap data signature submits a transaction successfully`,test/e2e/tests/swap-send/swap-send-eth.spec.ts,flaky test,describe(;it(,async,4,1,6,1,1,2024-06-27T07:52:33Z,2024-06-27T16:48:25Z,promise:0;async:4,test/e2e/tests/swap-send/swap-send-eth.spec.ts:4
https://api.github.com/repos/Comfy-Org/ComfyUI_frontend,Comfy-Org/ComfyUI_frontend,https://github.com/Comfy-Org/ComfyUI_frontend/pull/55,huchenlei,Disable flaky test,browser_tests/interaction.spec.ts,flaky test,describe(;test(,async,4,1,3,1,1,2024-06-26T01:26:52Z,2024-06-26T01:29:41Z,promise:0;async:4,browser_tests/interaction.spec.ts:4
https://api.github.com/repos/suredone/qdone,suredone/qdone,https://github.com/suredone/qdone/pull/67,ryanwitt,Various fixes from monitoring of 2.0.51-alpha,test/dedup.test.js;test/idleQueues.test.js;test/qrlCache.test.js;test/sqs.test.js,flaky test,describe(;test(,async;promise,51,18,6233,6,4,2024-07-10T22:00:27Z,2024-09-08T04:33:04Z,promise:2;async:49,test/dedup.test.js:20;test/idleQueues.test.js:14;test/qrlCache.test.js:13;test/sqs.test.js:4
https://api.github.com/repos/DataDog/dd-trace-js,DataDog/dd-trace-js,https://github.com/DataDog/dd-trace-js/pull/4496,juan-fernandez,v5.18.0,docs/test.ts;integration-tests/ci-visibility/playwright-tests-max-failures/failing-test-and-another-test.js,flaky test,it(;test(,async;promise,9,30,3376,4,2,2024-07-10T09:52:49Z,2024-07-11T07:39:10Z,promise:6;async:3,docs/test.ts:6;integration-tests/ci-visibility/playwright-tests-max-failures/failing-test-and-another-test.js:3
https://api.github.com/repos/DataDog/dd-trace-js,DataDog/dd-trace-js,https://github.com/DataDog/dd-trace-js/pull/4497,juan-fernandez,v4.42.0,docs/test.ts;integration-tests/ci-visibility/playwright-tests-max-failures/failing-test-and-another-test.js,flaky test,it(;test(,async;promise,9,30,3378,4,2,2024-07-10T10:13:51Z,2024-07-11T07:37:07Z,promise:6;async:3,docs/test.ts:6;integration-tests/ci-visibility/playwright-tests-max-failures/failing-test-and-another-test.js:3
https://api.github.com/repos/MetaMask/metamask-extension,MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension/pull/25744,seaona,fix: flaky test `Test Snap Metrics test snap update rejected metric`,test/e2e/snaps/test-snap-metrics.spec.js,flaky test,describe(;it(,async;promise,33,1,18,1,1,2024-07-10T14:51:42Z,2024-07-10T15:57:24Z,promise:1;async:32,test/e2e/snaps/test-snap-metrics.spec.js:33
https://api.github.com/repos/folio-org/stripes-components,folio-org/stripes-components,https://github.com/folio-org/stripes-components/pull/2318,JohnC-80,STCOM-1313 Update Selection internal state when dataOptions are received,lib/Selection/tests/Selection-test.js,race condition,describe(;it(,async,39,5,60,2,1,2024-07-09T20:59:12Z,2024-07-10T14:48:45Z,promise:0;async:39,lib/Selection/tests/Selection-test.js:39
https://api.github.com/repos/hmcts/prl-ccd-definitions,hmcts/prl-ccd-definitions,https://github.com/hmcts/prl-ccd-definitions/pull/2324,sreekanthpuligadda,"framework ehancements, flaky test fix and prl-6047 implementation",test/end-to-end/tests/CreateSOAFromCitizenJourney_test.js;test/end-to-end/tests/apiUtil_test.js,flaky test,it(,async,22,30,4220,5,2,2024-07-09T15:09:49Z,2024-07-10T08:47:08Z,promise:0;async:9,test/end-to-end/tests/CreateSOAFromCitizenJourney_test.js:7;test/end-to-end/tests/apiUtil_test.js:2
https://api.github.com/repos/DataDog/dd-trace-js,DataDog/dd-trace-js,https://github.com/DataDog/dd-trace-js/pull/4491,juan-fernandez,[test-visibility] Flaky test retries for cucumber,integration-tests/cucumber/cucumber.spec.js,flaky test,describe(;it(,async;promise,7,7,216,2,1,2024-07-09T12:53:21Z,2024-07-10T08:44:41Z,promise:3;async:4,integration-tests/cucumber/cucumber.spec.js:7
https://api.github.com/repos/MetaMask/metamask-extension,MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension/pull/25706,seaona,"fix: flaky test `Create token, approve token and approve token without gas approves an already created token and displays the token approval data`",test/e2e/tests/tokens/custom-token-add-approve.spec.js,flaky test,describe(;it(,async,11,1,29,1,1,2024-07-05T16:35:42Z,2024-07-09T12:54:00Z,promise:0;async:11,test/e2e/tests/tokens/custom-token-add-approve.spec.js:11
https://api.github.com/repos/parse-community/parse-server,parse-community/parse-server,https://github.com/parse-community/parse-server/pull/9181,dplewis,test: Investigate flaky tests by turning off tests randomizer,spec/CloudCode.spec.js;spec/ParseAPI.spec.js,flaky test,describe(;it(;test(,async;promise,169,4,41,2,2,2024-07-07T22:46:59Z,2024-07-07T23:20:28Z,promise:45;async:124,spec/CloudCode.spec.js:154;spec/ParseAPI.spec.js:15
https://api.github.com/repos/MetaMask/metamask-extension,MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension/pull/25675,seaona,fix: flaky test `Request-queue UI changes handles three confirmations on three confirmations concurrently`,test/e2e/tests/request-queuing/ui.spec.js,flaky test,describe(;it(,async,18,2,65,1,1,2024-07-04T07:03:20Z,2024-07-05T15:51:29Z,promise:0;async:18,test/e2e/tests/request-queuing/ui.spec.js:18
https://api.github.com/repos/parse-community/parse-server,parse-community/parse-server,https://github.com/parse-community/parse-server/pull/9217,dplewis,ci: Fix Postgres flaky tests,spec/batch.spec.js,flaky test,describe(;it(,async,7,1,11,1,1,2024-07-17T16:49:22Z,2024-07-17T17:28:10Z,promise:0;async:7,spec/batch.spec.js:7
https://api.github.com/repos/parse-community/parse-server,parse-community/parse-server,https://github.com/parse-community/parse-server/pull/9210,dplewis,ci: Fix CI not testing with Postgres 16 and flaky test,spec/ParseLiveQuery.spec.js;spec/batch.spec.js,flaky test,describe(;it(,async;promise,73,7,429,2,2,2024-07-17T12:17:05Z,2024-07-17T15:51:13Z,promise:17;async:56,spec/ParseLiveQuery.spec.js:66;spec/batch.spec.js:7
https://api.github.com/repos/parse-community/parse-server,parse-community/parse-server,https://github.com/parse-community/parse-server/pull/9218,dplewis,ci: Add test retry logic for flaky tests,spec/Idempotency.spec.js;spec/RegexVulnerabilities.spec.js,flaky test,describe(;it(,async;promise,28,5,171,2,2,2024-07-17T19:50:35Z,2024-08-11T12:24:50Z,promise:5;async:23,spec/Idempotency.spec.js:17;spec/RegexVulnerabilities.spec.js:11
https://api.github.com/repos/vercel/next.js,vercel/next.js,https://github.com/vercel/next.js/pull/67734,ztanner,pages router: ensure x-middleware-cache is respected,test/e2e/middleware-rewrites/test/index.test.ts,race condition,describe(;it(,async,54,6,76,1,1,2024-07-13T16:58:10Z,2024-07-13T17:48:38Z,promise:0;async:54,test/e2e/middleware-rewrites/test/index.test.ts:54
https://api.github.com/repos/vercel/next.js,vercel/next.js,https://github.com/vercel/next.js/pull/67767,unstubbable,Wait for `✓ Ready` log in `NextInstance#start`,test/development/jsconfig-path-reloading/index.test.ts;test/development/start-no-build/start-no-build.test.ts;test/development/tsconfig-path-reloading/index.test.ts;test/e2e/app-dir/app-basepath-custom-server/index.test.ts;test/e2e/custom-app-render/custom-app-render.test.ts;test/e2e/multi-zone/multi-zone.test.ts;test/production/custom-server/custom-server.test.ts,race condition,describe(;it(;test(,async;promise,29,11,54,7,7,2024-07-15T09:57:01Z,2024-07-15T18:49:11Z,promise:1;async:28,test/development/jsconfig-path-reloading/index.test.ts:7;test/development/start-no-build/start-no-build.test.ts:2;test/development/tsconfig-path-reloading/index.test.ts:7;test/e2e/app-dir/app-basepath-custom-server/index.test.ts:4;test/e2e/custom-app-render/custom-app-render.test.ts:1;test/e2e/multi-zone/multi-zone.test.ts:3;test/production/custom-server/custom-server.test.ts:5
https://api.github.com/repos/MetaMask/metamask-extension,MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension/pull/25899,hjetpoluru,fix: flaky test: Check the toggle for hex data,test/e2e/tests/settings/show-hex-data.spec.js,flaky test,describe(;it(,async,6,1,9,1,1,2024-07-17T14:18:08Z,2024-07-24T13:44:54Z,promise:0;async:6,test/e2e/tests/settings/show-hex-data.spec.js:6
https://api.github.com/repos/MetaMask/metamask-extension,MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension/pull/25913,hjetpoluru,fix: flaky test 25912,test/e2e/flask/user-operations.spec.ts,flaky test,describe(;it(;test(,async;promise,20,2,301,1,1,2024-07-17T20:47:15Z,2024-07-23T16:28:21Z,promise:1;async:19,test/e2e/flask/user-operations.spec.ts:20
https://api.github.com/repos/MetaMask/metamask-extension,MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension/pull/25769,digiwand,feat: Migration #122 set redesignedConfirmationsEnabled to true,app/scripts/migrations/122.test.ts;test/e2e/accounts/snap-account-signatures-and-disconnects.spec.ts;test/e2e/accounts/snap-account-signatures.spec.ts;test/e2e/snaps/test-snap-siginsights.spec.js;test/e2e/tests/dapp-interactions/signin-with-ethereum.spec.js;test/e2e/tests/metrics/signature-approved.spec.js;test/e2e/tests/petnames/petnames-signatures.spec.js;test/e2e/tests/request-queuing/dapp1-send-dapp2-signTypedData.spec.js;test/e2e/tests/request-queuing/ui.spec.js;test/e2e/tests/signature/personal-sign.spec.js;test/e2e/tests/signature/signature-request.spec.js,flaky test,describe(;it(,async;promise,73,19,232,11,11,2024-07-11T13:59:22Z,2024-07-23T11:46:03Z,promise:1;async:72,app/scripts/migrations/122.test.ts:3;test/e2e/accounts/snap-account-signatures-and-disconnects.spec.ts:3;test/e2e/accounts/snap-account-signatures.spec.ts:4;test/e2e/snaps/test-snap-siginsights.spec.js:2;test/e2e/tests/dapp-interactions/signin-with-ethereum.spec.js:2;test/e2e/tests/metrics/signature-approved.spec.js:12;test/e2e/tests/petnames/petnames-signatures.spec.js:12;test/e2e/tests/request-queuing/dapp1-send-dapp2-signTypedData.spec.js:2;test/e2e/tests/request-queuing/ui.spec.js:18;test/e2e/tests/signature/personal-sign.spec.js:5;test/e2e/tests/signature/signature-request.spec.js:10
https://api.github.com/repos/MetaMask/metamask-extension,MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension/pull/25837,montelaidev,fix: flaky account name e2e test,app/scripts/lib/snap-keyring/snap-keyring.test.ts;test/e2e/flask/user-operations.spec.ts;ui/components/multichain/account-list-menu/account-list-menu.test.js;ui/components/multichain/create-btc-account/create-btc-account.test.tsx;ui/components/multichain/create-named-snap-account/create-named-snap-account.test.tsx;ui/pages/confirmations/confirmation/templates/create-named-snap-account.test.js,flaky test,describe(;it(;test(,async;promise,41,18,1469,6,6,2024-07-15T16:02:07Z,2024-07-22T15:27:33Z,promise:1;async:40,app/scripts/lib/snap-keyring/snap-keyring.test.ts:8;test/e2e/flask/user-operations.spec.ts:19;ui/components/multichain/account-list-menu/account-list-menu.test.js:3;ui/components/multichain/create-btc-account/create-btc-account.test.tsx:4;ui/components/multichain/create-named-snap-account/create-named-snap-account.test.tsx:5;ui/pages/confirmations/confirmation/templates/create-named-snap-account.test.js:2
https://api.github.com/repos/MetaMask/metamask-extension,MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension/pull/25782,seaona,fix: flaky test Settings Redirects to ENS domains when user inputs ENS into address bar,test/e2e/tests/metrics/errors.spec.js;test/e2e/tests/settings/ipfs-ens-resolution.spec.js,flaky test,describe(;it(,async;promise,51,11,306,2,2,2024-07-11T18:54:58Z,2024-07-22T09:23:33Z,promise:0;async:51,test/e2e/tests/metrics/errors.spec.js:43;test/e2e/tests/settings/ipfs-ens-resolution.spec.js:8
https://api.github.com/repos/Ontotext-AD/graphdb-workbench,Ontotext-AD/graphdb-workbench,https://github.com/Ontotext-AD/graphdb-workbench/pull/1473,DesiBorisova,GDB-10527 - Fix some usability issues and button positioning,test-cypress/integration/explore/graphs.overview.spec.js,flaky test,describe(;it(,promise,1,5,16,2,1,2024-07-17T16:17:49Z,2024-07-19T08:22:25Z,promise:1;async:0,test-cypress/integration/explore/graphs.overview.spec.js:1
https://api.github.com/repos/DataDog/dd-trace-js,DataDog/dd-trace-js,https://github.com/DataDog/dd-trace-js/pull/4518,juan-fernandez,[test-visibility] Flaky test retries for cypress,integration-tests/cypress/cypress.spec.js,flaky test,describe(;it(,async;promise,8,7,241,1,1,2024-07-16T14:54:07Z,2024-07-19T08:14:33Z,promise:4;async:4,integration-tests/cypress/cypress.spec.js:8
